BGG Rank,Complexity Average,Mech_role_camp,Strategy,Wargames
8378,2.67,0,0,0
16779,1.5,1,0,0
13971,0.0,0,0,0
6703,1.43,0,0,0
19505,1.89,0,0,0
10850,0.0,0,0,0
18733,1.5,0,0,0
8163,2.6,0,0,0
286,2.78,1,1,0
5434,2.82,1,0,1
6000,2.42,0,1,0
8351,1.5,0,0,0
10744,3.38,1,0,1
4552,1.78,0,0,0
15893,2.0,0,0,0
4515,1.72,1,0,1
6088,4.2,0,1,0
11007,1.0,0,0,0
11489,1.0,0,0,0
12937,2.0,0,0,0
2504,2.11,0,0,0
19914,1.06,0,0,0
2442,2.47,0,0,0
16997,1.25,0,0,0
16088,1.25,0,0,0
10024,1.89,0,0,0
3460,1.94,0,0,0
18366,1.0,0,0,0
3797,2.31,0,1,0
2518,2.45,0,1,0
695,2.68,0,1,0
2036,2.79,1,0,0
8168,2.63,0,0,0
7146,1.66,1,0,0
16309,2.0,0,0,0
5713,1.4,0,0,0
13557,2.0,0,0,0
8708,1.19,0,0,0
17566,2.67,0,0,0
12704,2.17,1,0,0
18606,1.67,0,0,0
7447,1.33,0,0,0
4156,3.82,0,0,1
8045,3.38,1,0,1
14913,2.75,1,0,1
1149,1.78,1,0,0
12646,1.14,0,0,0
6911,3.09,1,0,1
11553,2.25,0,0,0
10217,3.0,1,0,0
3259,3.27,0,1,0
5741,1.89,0,0,0
9649,1.58,1,0,1
10124,1.33,0,0,0
16156,1.0,0,0,0
18854,2.25,0,0,0
12929,3.0,0,0,0
18046,1.73,0,0,0
17008,2.2,1,0,0
12094,2.14,1,0,1
10941,1.0,0,0,0
19782,1.6,0,0,0
13434,4.27,1,0,1
517,3.56,0,0,1
16186,2.34,1,0,1
903,2.69,0,0,0
18133,2.0,0,0,0
15148,3.5,0,0,0
19160,1.67,1,0,0
5402,1.18,0,0,0
4314,1.89,0,0,1
11481,2.67,1,0,1
2300,4.21,0,1,0
15781,1.11,0,0,0
2158,1.16,0,0,0
6431,1.09,0,0,0
18022,3.5,0,0,0
939,2.35,0,1,0
13496,1.6,0,0,0
15645,2.0,0,0,0
18953,1.33,0,0,0
9882,2.08,0,0,0
9145,1.58,0,0,0
16124,4.57,0,0,1
8935,3.83,1,0,1
17281,1.0,0,0,0
9250,1.4,1,0,0
13145,1.0,0,0,0
4036,1.68,0,0,0
16392,1.0,0,0,0
19148,1.0,0,0,0
18510,1.57,1,0,1
13003,2.0,1,0,1
13032,3.83,0,0,1
14448,2.2,1,0,0
19887,1.75,1,0,0
5455,2.29,1,0,0
12757,1.67,0,0,0
8584,3.0,0,0,1
3207,2.52,0,0,0
12266,2.0,1,0,0
13230,1.0,0,0,0
14984,1.33,0,0,0
12008,0.0,0,0,0
20002,1.38,0,0,0
19748,1.0,0,0,0
17190,1.33,0,0,0
12412,1.0,0,0,0
3059,2.0,1,0,0
10577,2.0,0,0,0
9053,2.22,0,0,0
13947,1.33,0,0,0
16528,2.67,0,0,0
8753,1.0,0,0,0
8096,2.52,0,0,0
17317,2.47,0,1,0
17750,1.22,0,0,0
10254,1.6,0,0,0
4570,2.0,1,0,0
19810,1.5,0,0,0
15644,2.45,0,0,1
17447,1.0,0,0,0
2066,3.17,0,0,0
14093,1.5,1,0,0
7401,1.54,1,0,0
7970,2.6,0,0,0
4487,2.0,0,0,0
15128,2.2,0,0,0
14440,1.0,0,0,0
5035,1.22,0,0,0
12596,1.89,0,0,0
2881,1.23,0,0,0
12085,1.73,0,0,0
1482,2.74,1,1,0
12905,2.71,1,0,1
18335,1.6,0,0,0
18427,1.0,1,0,0
17070,1.08,0,0,0
10863,2.36,0,0,0
2837,1.89,0,0,0
1831,2.41,1,1,0
11352,3.0,1,0,0
3854,1.63,1,0,0
16288,3.33,0,0,0
16114,1.33,0,0,0
15002,2.25,1,0,0
13614,1.57,0,0,0
19098,1.8,0,0,0
10660,1.5,0,0,0
23,2.91,1,1,0
69,4.57,0,1,0
18667,1.0,0,0,0
2057,1.34,0,0,0
5664,2.7,0,1,0
7281,1.86,0,0,0
15295,3.25,1,0,1
14882,0.0,1,0,0
16363,1.5,0,0,0
4090,1.84,1,0,0
1177,3.34,1,0,0
3390,3.51,1,0,0
1428,2.49,1,0,1
19374,1.0,0,0,0
9400,1.5,0,0,0
20158,1.0,0,0,0
16554,2.0,0,0,0
20108,1.39,1,0,0
4278,2.55,0,0,1
13531,1.0,0,0,0
12299,1.44,0,0,0
13201,1.73,0,1,0
19147,1.0,0,0,0
3203,2.88,1,0,0
6292,1.89,0,0,0
5954,2.76,1,0,1
13683,1.8,0,0,0
19342,1.0,0,0,0
688,2.24,1,1,0
14119,1.8,0,0,0
17111,2.29,0,0,0
703,2.29,1,0,0
15718,1.44,0,0,0
7900,1.74,0,0,0
16526,1.0,0,0,0
9135,2.8,0,0,1
19373,1.08,0,0,0
16452,1.38,0,0,0
13106,1.75,0,0,0
9905,0.0,0,0,0
10714,2.0,0,0,0
19462,1.57,0,0,0
5042,1.97,0,0,0
1628,2.19,0,0,0
16418,0.0,0,0,0
8112,2.33,0,0,0
13302,2.67,0,0,0
6182,3.21,0,0,1
11619,1.0,0,0,0
12233,1.33,0,0,0
671,3.02,1,1,0
18023,1.75,0,0,0
7764,3.13,1,0,0
9694,2.14,0,0,0
20185,1.83,0,0,0
20225,1.28,0,0,0
4214,2.47,0,0,0
15812,1.0,0,0,0
10708,2.33,1,0,1
10255,0.0,0,0,0
3175,3.76,0,0,1
8161,1.64,0,0,0
16557,1.57,0,0,0
6071,1.43,0,0,0
16719,1.0,0,0,0
15961,1.0,0,0,0
8358,1.5,0,0,0
17636,1.15,0,0,0
17511,1.0,0,0,0
1245,1.15,0,0,0
9549,4.11,1,0,1
6869,2.45,1,0,1
